campaign_id,campaign_name,campaign_type,platform,date,spend,impressions,clicks,conversions,revenue,target_audience,geographic_region,budget_daily,budget_total
CAMP001,Summer Sale - Search,search,google,2024-01-01,150.50,10000,250,15,450.00,Young Adults,US,200.00,5000.00
CAMP002,Brand Awareness - Display,display,facebook,2024-01-01,300.25,50000,1200,45,1350.00,Millennials,US,400.00,10000.00
CAMP003,Video Campaign,video,youtube,2024-01-02,500.00,25000,800,25,1250.00,Gen Z,CA,600.00,15000.00
CAMP004,Social Media Push,social,instagram,2024-01-02,200.75,15000,450,20,800.00,Women 25-40,US,300.00,8000.00
CAMP005,Shopping Campaign,shopping,google,2024-01-03,350.00,20000,600,35,1750.00,Shoppers,US,500.00,12000.00
CAMP006,LinkedIn Professional,social,linkedin,2024-01-03,400.00,8000,200,10,1200.00,Professionals,US,450.00,9000.00
CAMP007,Twitter Engagement,social,twitter,2024-01-04,100.00,12000,300,8,320.00,Tech Enthusiasts,US,150.00,3000.00
CAMP008,TikTok Viral,social,tiktok,2024-01-04,250.00,30000,900,30,750.00,Gen Z,US,300.00,7500.00
CAMP009,Retargeting Campaign,display,facebook,2024-01-05,180.00,8000,320,25,1000.00,Previous Visitors,US,250.00,6000.00
CAMP010,Search Brand Defense,search,google,2024-01-05,120.00,5000,150,12,600.00,Brand Searchers,US,200.00,4000.00
